type vertexCount density time
sc 5000 1 395200
bfs 5000 1 137800
dfs 5000 1 136200
sc 5000 1 412400
bfs 5000 1 137600
dfs 5000 1 139800
sc 5000 1 414200
bfs 5000 1 132400
dfs 5000 1 133200
sc 5000 1 407200
bfs 5000 1 132800
dfs 5000 1 135200
sc 5000 1 400400
bfs 5000 1 133600
dfs 5000 1 130200
sc 5000 1 392400
bfs 5000 1 129600
dfs 5000 1 130800
sc 5000 1 409800
bfs 5000 1 135000
dfs 5000 1 131600
sc 10000 0.01 17200
bfs 10000 0.01 6136
dfs 10000 0.01 6160
sc 10000 0.01 17760
bfs 10000 0.01 6440
dfs 10000 0.01 6272
sc 10000 0.01 18640
bfs 10000 0.01 6424
dfs 10000 0.01 6496
sc 10000 0.01 18680
bfs 10000 0.01 6784
dfs 10000 0.01 7008
sc 10000 0.01 18640
bfs 10000 0.01 6968
dfs 10000 0.01 6592
sc 10000 0.01 18880
bfs 10000 0.01 6840
dfs 10000 0.01 6520
sc 10000 0.01 18600
bfs 10000 0.01 6520
dfs 10000 0.01 6544
sc 10000 0.01 17960
bfs 10000 0.01 6664
dfs 10000 0.01 6536
sc 10000 0.01 17880
bfs 10000 0.01 6648
dfs 10000 0.01 6496
sc 10000 0.01 17480
bfs 10000 0.01 6256
dfs 10000 0.01 6248
sc 10000 0.05 80800
bfs 10000 0.05 27120
dfs 10000 0.05 27040
sc 10000 0.05 81600
bfs 10000 0.05 26800
dfs 10000 0.05 26960
sc 10000 0.05 81200
bfs 10000 0.05 26840
dfs 10000 0.05 26920
sc 10000 0.05 80200
bfs 10000 0.05 26840
dfs 10000 0.05 27200
sc 10000 0.05 80200
bfs 10000 0.05 26960
dfs 10000 0.05 27240
sc 10000 0.05 80200
bfs 10000 0.05 27000
dfs 10000 0.05 27040
sc 10000 0.05 80000
bfs 10000 0.05 26920
dfs 10000 0.05 27040
sc 10000 0.05 80000
bfs 10000 0.05 27240
dfs 10000 0.05 27400
sc 10000 0.05 80600
bfs 10000 0.05 26920
dfs 10000 0.05 26840
sc 10000 0.05 80800
bfs 10000 0.05 26880
dfs 10000 0.05 27120
sc 10000 0.1 159800
bfs 10000 0.1 52800
dfs 10000 0.1 53600
sc 10000 0.1 158400
bfs 10000 0.1 53400
dfs 10000 0.1 53000
sc 10000 0.1 158000
bfs 10000 0.1 53400
dfs 10000 0.1 55400
sc 10000 0.1 158200
bfs 10000 0.1 53000
dfs 10000 0.1 53200
sc 10000 0.1 157600
bfs 10000 0.1 52600
dfs 10000 0.1 53600
